"method","group","outcome_label","n_model","events","Low vs normal","High vs normal","run_id","run_ts"
"Unweighted adjusted","ABG","IMV",1837,488,"1.33 (1.03, 1.72)","1.33 (1.03, 1.72)","20260301_131122","2026-03-01 13:11:22.14127"
"Unweighted adjusted","ABG","NIV",1837,202,"0.75 (0.50, 1.11)","1.62 (1.14, 2.29)","20260301_131122","2026-03-01 13:11:22.14127"
"Unweighted adjusted","ABG","Death (60d)",1837,315,"1.80 (1.35, 2.40)","0.92 (0.66, 1.26)","20260301_131122","2026-03-01 13:11:22.14127"
"Unweighted adjusted","ABG","Hypercapnic RF",1837,193,"0.95 (0.58, 1.54)","5.29 (3.70, 7.65)","20260301_131122","2026-03-01 13:11:22.14127"
"Unweighted adjusted","VBG","IMV",1500,242,"1.53 (1.08, 2.16)","1.74 (1.22, 2.48)","20260301_131122","2026-03-01 13:11:22.14127"
"Unweighted adjusted","VBG","NIV",1500,118,"0.73 (0.42, 1.25)","2.54 (1.61, 4.07)","20260301_131122","2026-03-01 13:11:22.14127"
"Unweighted adjusted","VBG","Death (60d)",1500,192,"1.69 (1.16, 2.46)","1.34 (0.91, 1.98)","20260301_131122","2026-03-01 13:11:22.14127"
"Unweighted adjusted","VBG","Hypercapnic RF",1500,128,"0.93 (0.46, 1.81)","9.33 (5.76, 15.74)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","ABG","IMV",1837,488,"1.25 (0.94, 1.65)","1.17 (0.88, 1.56)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","ABG","NIV",1837,202,"0.79 (0.50, 1.26)","1.51 (1.04, 2.20)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","ABG","Death (60d)",1837,315,"2.03 (1.49, 2.77)","1.06 (0.74, 1.52)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","ABG","Hypercapnic RF",1837,193,"0.98 (0.56, 1.73)","5.24 (3.51, 7.83)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","VBG","IMV",1500,242,"1.53 (1.05, 2.23)","1.77 (1.21, 2.57)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","VBG","NIV",1500,118,"0.66 (0.37, 1.18)","2.77 (1.70, 4.51)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","VBG","Death (60d)",1500,192,"1.72 (1.14, 2.57)","1.42 (0.94, 2.15)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW adjusted","VBG","Hypercapnic RF",1500,128,"0.83 (0.41, 1.69)","9.51 (5.55, 16.28)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","ABG","IMV",1837,488,"1.40 (1.04, 1.88)","1.40 (1.05, 1.88)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","ABG","NIV",1837,202,"0.71 (0.44, 1.13)","1.49 (0.99, 2.25)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","ABG","Death (60d)",1837,315,"1.87 (1.34, 2.61)","0.98 (0.68, 1.42)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","ABG","Hypercapnic RF",1837,193,"0.95 (0.55, 1.63)","6.16 (4.06, 9.34)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","VBG","IMV",1500,242,"1.49 (0.98, 2.29)","1.48 (0.97, 2.27)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","VBG","NIV",1500,118,"0.57 (0.30, 1.08)","2.50 (1.43, 4.39)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","VBG","Death (60d)",1500,192,"1.75 (1.10, 2.77)","1.27 (0.80, 2.03)","20260301_131122","2026-03-01 13:11:22.14127"
"IPW + MI adjusted","VBG","Hypercapnic RF",1500,128,"0.99 (0.44, 2.22)","10.43 (5.52, 19.70)","20260301_131122","2026-03-01 13:11:22.14127"
