"n_model","events","method","group","outcome","Low vs normal OR (95% CI)","High vs normal OR (95% CI)","Normal probability (95% CI)","Low probability (95% CI)","High probability (95% CI)","run_id","run_ts"
1911,463,"Crude","ABG","IMV","1.44 (1.12, 1.86)","1.28 (0.99, 1.65)","0.21 (0.18, 0.24)","0.28 (0.24, 0.32)","0.25 (0.22, 0.29)","20260421_092434","2026-04-21 09:24:34.367118"
1911,183,"Crude","ABG","NIV","1.00 (0.65, 1.52)","2.26 (1.60, 3.21)","0.07 (0.06, 0.09)","0.07 (0.05, 0.10)","0.15 (0.12, 0.18)","20260421_092434","2026-04-21 09:24:34.367118"
1911,322,"Crude","ABG","Death (60d)","1.60 (1.19, 2.15)","1.55 (1.16, 2.08)","0.13 (0.11, 0.16)","0.20 (0.17, 0.23)","0.19 (0.16, 0.23)","20260421_092434","2026-04-21 09:24:34.367118"
1911,206,"Crude","ABG","Hypercapnic RF","1.36 (0.81, 2.28)","8.29 (5.65, 12.50)","0.04 (0.03, 0.06)","0.05 (0.04, 0.08)","0.26 (0.22, 0.29)","20260421_092434","2026-04-21 09:24:34.367118"
1445,208,"Crude","VBG","IMV","1.48 (1.03, 2.13)","1.80 (1.27, 2.57)","0.11 (0.09, 0.14)","0.16 (0.12, 0.20)","0.18 (0.15, 0.23)","20260421_092434","2026-04-21 09:24:34.367118"
1445,100,"Crude","VBG","NIV","1.21 (0.69, 2.09)","2.61 (1.63, 4.23)","0.05 (0.03, 0.07)","0.06 (0.04, 0.08)","0.12 (0.09, 0.15)","20260421_092434","2026-04-21 09:24:34.367118"
1445,200,"Crude","VBG","Death (60d)","1.71 (1.19, 2.45)","1.58 (1.10, 2.29)","0.11 (0.09, 0.13)","0.17 (0.14, 0.21)","0.16 (0.13, 0.20)","20260421_092434","2026-04-21 09:24:34.367118"
1445,133,"Crude","VBG","Hypercapnic RF","0.99 (0.51, 1.85)","7.13 (4.58, 11.46)","0.04 (0.03, 0.06)","0.04 (0.02, 0.06)","0.23 (0.19, 0.27)","20260421_092434","2026-04-21 09:24:34.367118"
1911,463,"Adjusted","ABG","IMV","1.39 (1.07, 1.80)","1.25 (0.96, 1.61)","0.22 (0.18, 0.26)","0.28 (0.23, 0.33)","0.25 (0.21, 0.31)","20260421_092434","2026-04-21 09:24:34.367118"
1911,183,"Adjusted","ABG","NIV","0.99 (0.64, 1.52)","2.62 (1.83, 3.78)","0.08 (0.06, 0.11)","0.08 (0.06, 0.12)","0.19 (0.14, 0.25)","20260421_092434","2026-04-21 09:24:34.367118"
1911,322,"Adjusted","ABG","Death (60d)","1.76 (1.29, 2.39)","1.54 (1.14, 2.08)","0.12 (0.09, 0.15)","0.19 (0.15, 0.24)","0.17 (0.13, 0.22)","20260421_092434","2026-04-21 09:24:34.367118"
1911,206,"Adjusted","ABG","Hypercapnic RF","1.37 (0.81, 2.30)","8.50 (5.76, 12.89)","0.04 (0.03, 0.06)","0.05 (0.03, 0.08)","0.26 (0.20, 0.32)","20260421_092434","2026-04-21 09:24:34.367118"
1445,208,"Adjusted","VBG","IMV","1.27 (0.87, 1.85)","1.61 (1.11, 2.33)","0.20 (0.15, 0.26)","0.24 (0.18, 0.31)","0.29 (0.22, 0.36)","20260421_092434","2026-04-21 09:24:34.367118"
1445,100,"Adjusted","VBG","NIV","1.00 (0.56, 1.77)","2.80 (1.71, 4.68)","0.03 (0.01, 0.05)","0.03 (0.01, 0.05)","0.07 (0.04, 0.12)","20260421_092434","2026-04-21 09:24:34.367118"
1445,200,"Adjusted","VBG","Death (60d)","1.53 (1.04, 2.25)","1.29 (0.87, 1.89)","0.15 (0.10, 0.20)","0.21 (0.15, 0.28)","0.18 (0.13, 0.25)","20260421_092434","2026-04-21 09:24:34.367118"
1445,133,"Adjusted","VBG","Hypercapnic RF","0.84 (0.43, 1.58)","7.09 (4.49, 11.55)","0.05 (0.03, 0.08)","0.04 (0.02, 0.08)","0.27 (0.20, 0.36)","20260421_092434","2026-04-21 09:24:34.367118"
1911,463,"Imputed","ABG","IMV","1.39 (1.07, 1.80)","1.25 (0.96, 1.61)","0.22 (0.18, 0.26)","0.28 (0.23, 0.33)","0.25 (0.21, 0.31)","20260421_092434","2026-04-21 09:24:34.367118"
1911,183,"Imputed","ABG","NIV","0.99 (0.64, 1.53)","2.62 (1.83, 3.76)","0.08 (0.06, 0.11)","0.08 (0.06, 0.12)","0.19 (0.14, 0.24)","20260421_092434","2026-04-21 09:24:34.367118"
1911,322,"Imputed","ABG","Death (60d)","1.76 (1.29, 2.39)","1.54 (1.14, 2.08)","0.12 (0.09, 0.15)","0.19 (0.15, 0.24)","0.17 (0.13, 0.22)","20260421_092434","2026-04-21 09:24:34.367118"
1911,206,"Imputed","ABG","Hypercapnic RF","1.37 (0.82, 2.29)","8.50 (5.68, 12.72)","0.04 (0.03, 0.06)","0.05 (0.03, 0.08)","0.26 (0.20, 0.32)","20260421_092434","2026-04-21 09:24:34.367118"
1445,208,"Imputed","VBG","IMV","1.27 (0.87, 1.85)","1.61 (1.11, 2.34)","0.20 (0.15, 0.27)","0.24 (0.18, 0.31)","0.29 (0.22, 0.36)","20260421_092434","2026-04-21 09:24:34.367118"
1445,100,"Imputed","VBG","NIV","1.00 (0.56, 1.78)","2.80 (1.70, 4.63)","0.03 (0.01, 0.05)","0.03 (0.01, 0.06)","0.07 (0.04, 0.13)","20260421_092434","2026-04-21 09:24:34.367118"
1445,200,"Imputed","VBG","Death (60d)","1.53 (1.04, 2.26)","1.29 (0.88, 1.88)","0.15 (0.10, 0.20)","0.21 (0.15, 0.29)","0.18 (0.13, 0.25)","20260421_092434","2026-04-21 09:24:34.367118"
1445,133,"Imputed","VBG","Hypercapnic RF","0.84 (0.44, 1.59)","7.09 (4.42, 11.36)","0.05 (0.03, 0.09)","0.04 (0.02, 0.08)","0.27 (0.20, 0.36)","20260421_092434","2026-04-21 09:24:34.367118"
1911,463,"Weighted and adjusted","ABG","IMV","1.41 (1.05, 1.90)","1.26 (0.93, 1.71)","0.21 (0.17, 0.25)","0.27 (0.22, 0.33)","0.25 (0.20, 0.31)","20260421_092434","2026-04-21 09:24:34.367118"
1911,183,"Weighted and adjusted","ABG","NIV","1.04 (0.63, 1.72)","3.05 (1.99, 4.68)","0.06 (0.04, 0.09)","0.06 (0.04, 0.10)","0.17 (0.12, 0.22)","20260421_092434","2026-04-21 09:24:34.367118"
1911,322,"Weighted and adjusted","ABG","Death (60d)","1.55 (1.07, 2.25)","1.50 (1.06, 2.14)","0.10 (0.08, 0.14)","0.15 (0.11, 0.21)","0.15 (0.11, 0.20)","20260421_092434","2026-04-21 09:24:34.367118"
1911,206,"Weighted and adjusted","ABG","Hypercapnic RF","1.26 (0.70, 2.26)","9.21 (5.73, 14.81)","0.03 (0.02, 0.05)","0.04 (0.02, 0.07)","0.23 (0.17, 0.30)","20260421_092434","2026-04-21 09:24:34.367118"
1445,208,"Weighted and adjusted","VBG","IMV","1.24 (0.77, 2.00)","1.63 (1.02, 2.60)","0.19 (0.13, 0.27)","0.23 (0.16, 0.32)","0.28 (0.20, 0.38)","20260421_092434","2026-04-21 09:24:34.367118"
1445,100,"Weighted and adjusted","VBG","NIV","0.76 (0.38, 1.52)","2.69 (1.47, 4.90)","0.02 (0.01, 0.05)","0.02 (0.01, 0.04)","0.06 (0.03, 0.12)","20260421_092434","2026-04-21 09:24:34.367118"
1445,200,"Weighted and adjusted","VBG","Death (60d)","1.10 (0.68, 1.79)","1.10 (0.70, 1.74)","0.13 (0.09, 0.19)","0.14 (0.09, 0.21)","0.14 (0.09, 0.21)","20260421_092434","2026-04-21 09:24:34.367118"
1445,133,"Weighted and adjusted","VBG","Hypercapnic RF","0.68 (0.30, 1.54)","6.28 (3.50, 11.25)","0.04 (0.02, 0.08)","0.03 (0.01, 0.07)","0.22 (0.15, 0.32)","20260421_092434","2026-04-21 09:24:34.367118"
1911,463,"GBM-weighted","ABG","IMV","1.40 (1.06, 1.86)","1.14 (0.85, 1.52)","0.22 (0.18, 0.26)","0.28 (0.23, 0.34)","0.24 (0.19, 0.30)","20260421_092434","2026-04-21 09:24:34.367118"
1911,183,"GBM-weighted","ABG","NIV","1.04 (0.65, 1.69)","2.82 (1.90, 4.17)","0.07 (0.05, 0.11)","0.08 (0.05, 0.12)","0.18 (0.13, 0.24)","20260421_092434","2026-04-21 09:24:34.367118"
1911,322,"GBM-weighted","ABG","Death (60d)","1.52 (1.08, 2.16)","1.46 (1.05, 2.02)","0.11 (0.08, 0.14)","0.15 (0.11, 0.21)","0.15 (0.11, 0.20)","20260421_092434","2026-04-21 09:24:34.367118"
1911,206,"GBM-weighted","ABG","Hypercapnic RF","1.54 (0.84, 2.82)","9.39 (5.99, 14.73)","0.03 (0.02, 0.05)","0.05 (0.03, 0.09)","0.25 (0.18, 0.32)","20260421_092434","2026-04-21 09:24:34.367118"
1445,208,"GBM-weighted","VBG","IMV","1.34 (0.89, 2.03)","1.58 (1.06, 2.37)","0.19 (0.13, 0.25)","0.23 (0.17, 0.31)","0.27 (0.20, 0.35)","20260421_092434","2026-04-21 09:24:34.367118"
1445,100,"GBM-weighted","VBG","NIV","0.88 (0.47, 1.67)","2.77 (1.62, 4.75)","0.03 (0.02, 0.06)","0.03 (0.01, 0.06)","0.08 (0.05, 0.14)","20260421_092434","2026-04-21 09:24:34.367118"
1445,200,"GBM-weighted","VBG","Death (60d)","1.38 (0.91, 2.10)","1.31 (0.87, 1.98)","0.13 (0.09, 0.18)","0.17 (0.11, 0.24)","0.16 (0.11, 0.23)","20260421_092434","2026-04-21 09:24:34.367118"
1445,133,"GBM-weighted","VBG","Hypercapnic RF","0.76 (0.37, 1.56)","7.58 (4.54, 12.67)","0.04 (0.02, 0.08)","0.03 (0.02, 0.07)","0.26 (0.18, 0.35)","20260421_092434","2026-04-21 09:24:34.367118"
