"category","co2_cat","eta","SE_eta","var_eta","p","p_LCL","p_UCL","m_used","m_total","outcome","group","run_id","run_ts"
"Normal","Normal",-1.35234825956622,0.0132620137895122,0.000175881009753211,0.205486725258471,0.201275444915848,0.209762977780978,80,80,"IMV","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"Low","Low",-1.06185870781032,0.0149806107893763,0.000224418699622776,0.256954413477938,0.251388481393158,0.262600351123654,80,80,"IMV","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"High","High",-1.06906069488576,0.0147641352723221,0.000217979690339425,0.255581755069014,0.250115121785987,0.261126263657266,80,80,"IMV","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"Normal","Normal",-2.32390939551102,0.0205382217888464,0.000421818554247844,0.0891620584339329,0.0859464830146636,0.092485767549657,80,80,"NIV","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"Low","Low",-2.32900890891897,0.024557412188577,0.000603066493399672,0.0887487825427212,0.0849324668041371,0.0927192035640292,80,80,"NIV","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"High","High",-1.35337229904988,0.019144734397113,0.000366520855136001,0.205319589016711,0.199264757513031,0.211509804156333,80,80,"NIV","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"Normal","Normal",-2.08410187136803,0.016605915258316,0.000275756421566373,0.110651665144377,0.107489082166802,0.113895424376184,80,80,"Death60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"Low","Low",-1.44773799667263,0.0174924705893297,0.000305986527318564,0.19034993465728,0.185122015472349,0.195690037493289,80,80,"Death60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"High","High",-1.74781902258314,0.0179023929777332,0.000320495674329192,0.148322494231973,0.143944461683575,0.152809914384221,80,80,"Death60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"Normal","Normal",-3.06699860719252,0.023292773022746,0.000542553275089163,0.044489242353463,0.0425883606521127,0.0464708495472826,80,80,"HCRF","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"Low","Low",-3.15084988227709,0.0288335777663763,0.00083137520680967,0.0410578035295298,0.0388895523557425,0.0433414920407385,80,80,"HCRF","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"High","High",-1.23797909860148,0.018738765272875,0.000351141323951908,0.224787948754039,0.218452542756167,0.231252724222317,80,80,"HCRF","ABG","20260419_112645","2026-04-19 11:26:45.267227"
