"group","feature","mean_abs_shap","run_id","run_ts"
"VBG","location1",0.206604102132471,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","wbc",0.102138980105314,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","temp_new",0.102105389444488,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","serum_lac",0.10144316990175,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","curr_bmi",0.0948498609947896,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","location0",0.0904995617484413,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","sbp",0.0735407148917154,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","serum_phos",0.047172513518763,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","hr",0.039597338189448,"20260419_112645","2026-04-19 11:26:45.267227"
"VBG","race_ethnicity0",0.0349349137245917,"20260419_112645","2026-04-19 11:26:45.267227"
