"group","outcome","component","analysis_variant","n_fits","n_nonconv","n_sep_warn","n_phat_extreme","n_sep_flag","run_id","run_ts"
"ABG","death_60d","cat3","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"ABG","death_60d","spline","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"ABG","hypercap_resp_failure","cat3","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"ABG","hypercap_resp_failure","spline","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"ABG","imv_proc","cat3","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"ABG","imv_proc","spline","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"ABG","niv_proc","cat3","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"ABG","niv_proc","spline","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","death_60d","cat3","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","death_60d","spline","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","hypercap_resp_failure","cat3","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","hypercap_resp_failure","spline","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","imv_proc","cat3","mi_ipw",20,0,0,7,7,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","imv_proc","spline","mi_ipw",20,0,0,4,4,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","niv_proc","cat3","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
"VBG","niv_proc","spline","mi_ipw",20,0,0,20,20,"20260421_061058","2026-04-21 06:10:58.635955"
