"artifact","analysis_family","current_method","uses_x_ref_abg","uses_x_ref_vbg","manuscript_facing","needs_conversion","run_id","run_ts"
"Figure 2","primary_mi_ipw_spline","conditional_modality_specific_xref",TRUE,TRUE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"Table 2","primary_mi_ipw_cat3","conditional_modality_specific_xref",TRUE,TRUE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"Figure S4","primary_mi_ipw_cat3","conditional_modality_specific_xref",TRUE,TRUE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"cat3_key_results_long.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref",TRUE,TRUE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"table_summary_key_results_cat3.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref",TRUE,TRUE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"mi_spline_prob_curve_abg.csv","primary_mi_ipw_spline","conditional_modality_specific_xref",TRUE,FALSE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"mi_spline_prob_curve_vbg.csv","primary_mi_ipw_spline","conditional_modality_specific_xref",FALSE,TRUE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"mi_cat3_prob_curve_abg.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref",TRUE,FALSE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"mi_cat3_prob_curve_vbg.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref",FALSE,TRUE,TRUE,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
"discordance_current_summary.csv","discordance_diagnostic","conditional_modality_specific_xref",TRUE,TRUE,FALSE,FALSE,"20260423_104307","2026-04-23 10:43:07.487173"
"probability_method_comparison_summary.csv","standardization_diagnostic","conditional_vs_common_vs_marginal",TRUE,TRUE,FALSE,FALSE,"20260423_104307","2026-04-23 10:43:07.487173"
