"group","proxy_field","proxy_type","unweighted_mean_tested","weighted_mean_tested","missing_fraction_tested","n_tested","m_used","run_id","run_ts"
"ABG","art_punct_proc","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","blood_cx_proc","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","cchs_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","cog_signs_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","headache_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","imv_proc","binary_outcome",0.242281527995813,0.207001666746973,0,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","mal_fat_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","meas_arterial_gas_proc","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","meas_venous_o2_proc","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","niv_proc","binary_outcome",0.0957613814756672,0.0909184439741392,0,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","ohs_code","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","other_sleep_hypovent_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","resp_acid_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","sepsis_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","sleep_hypovent_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","stupor_dx","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","tte_proc","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","tte_proc_first_date","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","tte_proc_last_date","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","vent_proc","coding_density_proxy",NA,NA,1,1911,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","art_punct_proc","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","blood_cx_proc","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","cchs_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","cog_signs_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","headache_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","imv_proc","binary_outcome",0.1439446366782,0.138224710542638,0,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","mal_fat_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","meas_arterial_gas_proc","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","meas_venous_o2_proc","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","niv_proc","binary_outcome",0.0692041522491348,0.0791287395764239,0,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","ohs_code","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","other_sleep_hypovent_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","resp_acid_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","sepsis_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","sleep_hypovent_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","stupor_dx","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","tte_proc","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","tte_proc_first_date","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","tte_proc_last_date","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","vent_proc","coding_density_proxy",NA,NA,1,1445,20,"20260423_104307","2026-04-23 10:43:07.487173"
