"metric","n","run_id","run_ts"
"Extracted encounter cohort",833476,"20260421_094018","2026-04-21 09:40:18.841212"
"Ambulatory encounters excluded",318190,"20260421_094018","2026-04-21 09:40:18.841212"
"Analytic ED/inpatient cohort",515286,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG-tested encounters",187242,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG-tested encounters",149663,"20260421_094018","2026-04-21 09:40:18.841212"
"Both ABG and VBG",55049,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG only",132193,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG only",94614,"20260421_094018","2026-04-21 09:40:18.841212"
"Neither ABG nor VBG",233430,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG with observed PaCO2",187242,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG with observed CO2",149663,"20260421_094018","2026-04-21 09:40:18.841212"
